Category,Browser,Global Super Group description,Global Product Group description,Global Module Description,Exception Type,Global Category,External Code,Work Item Scope,Seq,Standard Code,Code Type,External Code Group,Processing Group Code,Processing Group Description,Processing Group Set Description,Country,Source of Exception,Best Received External Description,Translated Best Received External Description,Best Existing External Description,Translated Best Existing External Description,Department Code,Department Description,Supplier Code,Supplier Description,Number of Stores Selling,Impact,Price,Retailer SKU,etailer Item Code,Store Receipt Description,Predicted Barcode,URL,Received Date,Due Date,Current Assignment Description,Country Current Assignment Description,External Item/Predicted PG/CI,External Item/Predicted Product Class,Latest Image Received Date,Sent for RTC Prediction,Priority,Reserved By,Allocated To,Defer,Has Image,Project,External Item Global Category,External Item Global Module,Local Id,Allocated Date
Business As Usual,Cross Coding,FOOD - PERISHABLE,VEGETABLES/SALAD VEGETABLES - FRESH VARIABLE WEIGHT,VEGETABLES/SALAD VEGETABLES FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000094513,LOCAL,2,'00000000094513,LAC,LAC,FEI,FEI FOODS ETC IGA MARKET,ALL_US,UNITED STATES OF AMERICA,SIRVAL,ORGANIC CHARDS,,ORGANIC CHARDS,,,,,CNT,1,4.99,4.99,,,,,,24-NOV-2022 19:48:36,,30196292 : MLTPL VL SNGL VGTBL RNBW CHRD     N PCKG 1 CNT ,30196292 : MLTPL VL SNGL VGTBL RNBW CHRD     N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000014663,LOCAL,1,'00000000014663,LAC,LAC,FEI,FEI FOODS ETC IGA MARKET,ALL_US,UNITED STATES OF AMERICA,SIRVAL,CHOPPED ONION,,,,,,,CNT,1,11.96,2.99,,,,,,24-NOV-2022 19:52:41,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000094943,LOCAL,1,'00000000094943,LAC,LAC,FEI,FEI FOODS ETC IGA MARKET,ALL_US,UNITED STATES OF AMERICA,SIRVAL,ORGANIC WALNUT BAG,,,,,,,CNT,1,39.96,9.99,,,,,,24-NOV-2022 19:50:19,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000094072,LOCAL,1,'00000000094072,LAC,LAC,FEI,FEI FOODS ETC IGA MARKET,ALL_US,UNITED STATES OF AMERICA,SIRVAL,ORGANIC LOOSE RUSSETS,,,,,,,WGT,1,13.02,1.8897,,,,,,24-NOV-2022 19:51:27,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021625400000,LOCAL,1,'00021625400000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SEAFOOD PLATTERS,,,,0280,SALVAGE,,WGT,1,55.98,27.99,,,,,,24-NOV-2022 19:48:34,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,BISCUITS & CONFECTIONERY & SNACKS,SWEET BISCUITS ASSORTED - AMBIENT,BISCUITS - SWEET - AMBIENT VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'026903500000,LOCAL,3,'00026903500000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,ORANGE SUGAR OR DOUBLE CHOCOLA,,ORANGE SUGAR OR DOUBLE CHOCOLA,,0770,SALVAGE,,WGT,1,27.93,3.99,,,,,,24-NOV-2022 19:48:27,,29752526 : N BRND LSTD CK ORNG SGR      N PCKG 1 CNT ,29752526 : N BRND LSTD CK ORNG SGR      N PCKG 1 CNT ,,,,FALSE,2,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021531900000,LOCAL,1,'00021531900000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,RUMBA BF TONGUE SPECIAL TRIM,,,,0220,SALVAGE,,WGT,2,118.77,10.6904,,,,,,24-NOV-2022 19:50:18,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,BREAD - FRESH VARIABLE WEIGHT,BREAD FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000002107,LOCAL,3,'00000000002107,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,PINEAPPLE HABANERO HONEY ROAST,,PINEAPPLE HABANERO HONEY ROAST,,0100,1    LB,,WGT,1,36.56,6.9904,,,,,,24-NOV-2022 19:50:17,,519749966 : N BRND LSTD SSM STCK HNY PNPPL HBNR STCK  N PCKG 1 PND ,519749966 : N BRND LSTD SSM STCK HNY PNPPL HBNR STCK  N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000006026,LOCAL,1,'00000000006026,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,LFTG Delivery Fee 105.00,,,,0000,1    EA,,CNT,1,105,105,,,,,,24-NOV-2022 19:54:18,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,XCLUDE - RESIDUALS,US LAC - LAC ONLY IN SCOPE,,Changed,,'000000001974,LOCAL,2,'00000000001974,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SUNMILL WINE FROZEN 10-12OZ,,SUNMILL WINE FROZEN 10-12OZ,,0150,12   OZ,,CNT,1,5,5,,,,,,24-NOV-2022 19:52:43,,PGI : US LAC - LAC ONLY IN SCOPE; PC:US LAC - LAC ONLY IN SCOPE,PGI : US LAC - LAC ONLY IN SCOPE; PC:US LAC - LAC ONLY IN SCOPE,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021737300000,LOCAL,1,'00021737300000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,VILLARI SKINLESS PORK BELLY,,,,0230,SALVAGE,,WGT,11,515.03,4.4906,,,,,,24-NOV-2022 19:51:36,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000162562816,LOCAL,1,'00000162562816,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,PALLA AMBER BOTTLE 2 LITER,,,,0520,1    EA,,CNT,1,19.99,19.99,,,,,,24-NOV-2022 19:50:43,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,BISCUITS & CONFECTIONERY & SNACKS,SNACKS - VARIABLE WEIGHT,SNACKS - ASSORTMENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000002500,LOCAL,7,'00000000002500,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,SWEET CAROLINE MIX,,SWEET CAROLINE MIX,,0100,1    LB,,WGT,1,8.82,7,,,,,,24-NOV-2022 19:52:21,,530450107 : N BRND LSTD TRL MX SWT CRLN  N PCKG 1 PND ,530450107 : N BRND LSTD TRL MX SWT CRLN  N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021532700000,LOCAL,1,'00021532700000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,BUTCHER BUY GROUND BEEF,,,,0210,SALVAGE,,WGT,45,41180.83,1.9565,,,,,,24-NOV-2022 19:54:26,,,,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,VEGETABLES/SALAD VEGETABLES - FRESH FIXED WEIGHT,VEGETABLES - NATURAL - ONION FAMILY - FRESH FIXED WEIGHT,Changed,VEGETABLES - FRESH NATURAL,'007457485023,LOCAL,3,'00007457485023,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,ONION PEARL WHITE/RED/GOLD,,ONION PEARL WHITE/RED/GOLD,,0320,6    OZ,,CNT,1,2.99,2.99,,,,,,24-NOV-2022 19:49:53,,559354408 : CHRSTPHR RNCH SNGL VGTBL GLD PRL ONN  WHL    BG 1 CNT      ,559354408 : CHRSTPHR RNCH SNGL VGTBL GLD PRL ONN  WHL    BG 1 CNT      ,,,,FALSE,2,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - FROZEN,FISH/SHELLFISH/SEAFOOD - FROZEN VARIABLE WEIGHT,FISH (NATURAL & TREATED) - FROZEN - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021400900000,LOCAL,7,'00021400900000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,FRESH SALMON FILLET CHILE/FARM,,FRESH SALMON FILLET CHILE/FARM,,0280,SALVAGE,,WGT,1,41.15,9.9879,,,,,,24-NOV-2022 19:49:02,,45038122 : N BRND LSTD ENTR SLMN CHL FLLT   N PCKG 1 PND ,45038122 : N BRND LSTD ENTR SLMN CHL FLLT   N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: CUTOVER TEMPORARY STANDARD/CONSOLIDATED ITEMS,CUTOVER TEMP STANDARD/CONSOLIDATED,US CUTOVER STANDARD,Changed,,'021377300000,LOCAL,3,'00021377300000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,THE BLUEBERRY BIRD (COOKED),,THE BLUEBERRY BIRD (COOKED),,0230,SALVAGE,,WGT,1,316.05,5.9903,,,,,,24-NOV-2022 19:49:40,,506269322 : N BRND LSTD MSCLLNS DL N PCKG 1 CNT ,506269322 : N BRND LSTD MSCLLNS DL N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025588300000,LOCAL,5,'00025588300000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,PEPPERONI,,PEPPERONI,,0420,SALVAGE,,WGT,54,652.91,9.9818,,,,,,24-NOV-2022 19:49:42,,29364316 : HRML LNCHMT EXCPT VRTY PCK   PPPRN    N PCKG 1 PND ,29364316 : HRML LNCHMT EXCPT VRTY PCK   PPPRN    N PCKG 1 PND ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'025660600000,LOCAL,1,'00025660600000,LAC,LAC,LFS,LFS LOWES FOOD  CENSUS LEVEL,ALL_US,UNITED STATES OF AMERICA,SIRVAL,BOARS HEAD IRISH CHEDDAR CHEES,,,,0430,SALVAGE,,WGT,11,149.44,14.959,,,,,,24-NOV-2022 19:49:36,,,,,,,FALSE,1,,,,N,,,,,
